Feature,Coefficient,Absolute_Importance
cat__JobRole_Research Director,-1.3362662527959719,1.3362662527959719
cat__JobRole_Laboratory Technician,1.1216265104323613,1.1216265104323613
cat__BusinessTravel_Non-Travel,-1.0645559064848007,1.0645559064848007
cat__JobRole_Sales Representative,1.0610486235774523,1.0610486235774523
cat__OverTime_No,-0.8702642095042991,0.8702642095042991
cat__BusinessTravel_Travel_Frequently,0.8300738934334156,0.8300738934334156
cat__EducationField_Other,-0.7645661496598725,0.7645661496598725
cat__OverTime_Yes,0.7339812128478329,0.7339812128478329
cat__EducationField_Human Resources,0.7289789330918133,0.7289789330918133
cat__JobRole_Healthcare Representative,-0.6454434784492327,0.6454434784492327
num__MonthlyIncome,-0.6235141435142021,0.6235141435142021
num__JobLevel,0.5220383690467882,0.5220383690467882
num__NumCompaniesWorked,0.5138000141260975,0.5138000141260975
num__YearsWithCurrManager,-0.47413378364479225,0.47413378364479225
cat__MaritalStatus_Divorced,-0.45746664287651,0.45746664287651
cat__MaritalStatus_Single,0.4573468303896827,0.4573468303896827
num__PromotionDelay,0.4548550837376459,0.4548550837376459
cat__JobRole_Human Resources,0.45038763881211547,0.45038763881211547
cat__Department_Sales,0.37150589237500325,0.37150589237500325
num__EngagementScore,-0.34882471575567303,0.34882471575567303
cat__EducationField_Technical Degree,0.34777333629170837,0.34777333629170837
num__YearsAtCompany,0.34574675449337894,0.34574675449337894
cat__JobRole_Manufacturing Director,-0.32211788711457995,0.32211788711457995
num__DistanceFromHome,0.31670569359131917,0.31670569359131917
num__IncomeExperienceRatio,0.3085970598033221,0.3085970598033221
num__YearsInCurrentRole,-0.2953550782027627,0.2953550782027627
num__TotalWorkingYears,-0.27522411400712393,0.27522411400712393
cat__Department_Human Resources,-0.26422387903053585,0.26422387903053585
cat__JobRole_Manager,-0.2545934400013589,0.2545934400013589
num__EnvironmentSatisfaction,-0.2528895452363349,0.2528895452363349
num__Age,-0.2504843242856472,0.2504843242856472
cat__EducationField_Life Sciences,-0.2439815854916065,0.2439815854916065
cat__Department_Research & Development,-0.2435650100009291,0.2435650100009291
cat__Gender_Female,-0.24133514633173922,0.24133514633173922
num__PercentSalaryHike,-0.2398763942036702,0.2398763942036702
num__JobSatisfaction,-0.20810724715826417,0.20810724715826417
num__WorkLifeBalance,-0.20519066642895548,0.20519066642895548
num__DailyRate,-0.1973835739459886,0.1973835739459886
cat__EducationField_Medical,-0.19197641266030066,0.19197641266030066
num__StockOptionLevel,-0.1863421039451078,0.1863421039451078
num__JobInvolvement,-0.1728218369185498,0.1728218369185498
num__TrainingTimesLastYear,-0.14956147627816202,0.14956147627816202
num__YearsSinceLastPromotion,0.1362950887180109,0.1362950887180109
cat__MaritalStatus_Married,-0.13616318416963874,0.13616318416963874
num__PerformanceRating,0.13232412850327194,0.13232412850327194
cat__JobRole_Sales Executive,-0.13208191444412917,0.13208191444412917
cat__Gender_Male,0.10505214967527696,0.10505214967527696
cat__BusinessTravel_Travel_Rarely,0.0981990163949203,0.0981990163949203
cat__JobRole_Research Scientist,-0.07884279667311324,0.07884279667311324
num__RelationshipSatisfaction,-0.07294979651666149,0.07294979651666149
num__WorkloadStress,0.06366794185762271,0.06366794185762271
num__HourlyRate,-0.062258407197841904,0.062258407197841904
num__Education,0.039120102750457436,0.039120102750457436
num__MonthlyRate,0.025344868853790458,0.025344868853790458
cat__EducationField_Marketing,-0.01251111822820412,0.01251111822820412
