Feature,SHAP_Value,Absolute_SHAP
cat__JobRole_Sales Representative,0.9867752199270307,0.9867752199270307
cat__BusinessTravel_Non-Travel,-0.9687458749011687,0.9687458749011687
num__MonthlyIncome,0.5800087114846694,0.5800087114846694
num__JobLevel,-0.4878314467635585,0.4878314467635585
num__IncomeExperienceRatio,0.4649118794357056,0.4649118794357056
num__YearsWithCurrManager,0.4603913166452808,0.4603913166452808
num__NumCompaniesWorked,-0.40524741675810083,0.40524741675810083
num__TotalWorkingYears,0.34517394795724726,0.34517394795724726
num__Age,0.3295473061486835,0.3295473061486835
num__YearsAtCompany,-0.30005520345757136,0.30005520345757136
num__EnvironmentSatisfaction,-0.2997743187313992,0.2997743187313992
num__YearsInCurrentRole,0.29634966589177403,0.29634966589177403
cat__Department_Sales,0.2637691835862523,0.2637691835862523
num__EngagementScore,-0.22371327454520126,0.22371327454520126
cat__OverTime_No,-0.21756605237607476,0.21756605237607476
num__PromotionDelay,-0.2089175766496402,0.2089175766496402
num__DistanceFromHome,0.20877885647601477,0.20877885647601477
cat__JobRole_Laboratory Technician,-0.20189277187782503,0.20189277187782503
cat__OverTime_Yes,-0.18349530321195823,0.18349530321195823
cat__Department_Research & Development,0.16805985690064107,0.16805985690064107
cat__MaritalStatus_Single,-0.16464485894028577,0.16464485894028577
num__JobSatisfaction,0.14808945465958973,0.14808945465958973
cat__BusinessTravel_Travel_Frequently,-0.14111256188368068,0.14111256188368068
cat__Gender_Female,-0.13756103340909137,0.13756103340909137
cat__EducationField_Life Sciences,-0.12931024031055147,0.12931024031055147
num__PercentSalaryHike,0.12849879662488078,0.12849879662488078
num__JobInvolvement,-0.10810974889604032,0.10810974889604032
cat__MaritalStatus_Divorced,0.1052173278615973,0.1052173278615973
num__TrainingTimesLastYear,0.10123792830285243,0.10123792830285243
num__YearsSinceLastPromotion,-0.08226946879052631,0.08226946879052631
cat__MaritalStatus_Married,-0.08033627866008687,0.08033627866008687
cat__JobRole_Research Director,0.0801759751677583,0.0801759751677583
cat__BusinessTravel_Travel_Rarely,-0.07266727213224103,0.07266727213224103
cat__EducationField_Medical,0.06527198030450222,0.06527198030450222
num__WorkLifeBalance,-0.06003008077532642,0.06003008077532642
cat__Gender_Male,-0.05987972531490786,0.05987972531490786
num__HourlyRate,-0.04344251044307915,0.04344251044307915
num__PerformanceRating,-0.03997756681858,0.03997756681858
num__StockOptionLevel,-0.03967416150799603,0.03967416150799603
cat__JobRole_Healthcare Representative,0.038726608706953956,0.038726608706953956
cat__JobRole_Manufacturing Director,0.038654146453749594,0.038654146453749594
cat__EducationField_Other,0.03822830748299363,0.03822830748299363
num__Education,-0.03502524896699086,0.03502524896699086
cat__JobRole_Sales Executive,0.026416382888825835,0.026416382888825835
num__MonthlyRate,-0.024922327564418676,0.024922327564418676
num__RelationshipSatisfaction,-0.024165823046516426,0.024165823046516426
num__DailyRate,-0.023459576094889547,0.023459576094889547
num__WorkloadStress,-0.02026992626330411,0.02026992626330411
cat__JobRole_Research Scientist,0.018133843234816045,0.018133843234816045
cat__JobRole_Manager,0.017821540800095126,0.017821540800095126
cat__EducationField_Technical Degree,-0.01738866681458542,0.01738866681458542
cat__EducationField_Human Resources,-0.007289789330918133,0.007289789330918133
cat__Department_Human Resources,0.005284477580610717,0.005284477580610717
cat__JobRole_Human Resources,-0.0045038763881211545,0.0045038763881211545
cat__EducationField_Marketing,0.0010008894582563296,0.0010008894582563296
