Feature,Mean_Absolute_SHAP
num__MonthlyIncome,0.5012054990898599
num__NumCompaniesWorked,0.43849762129843617
num__JobLevel,0.4115040775420496
num__YearsWithCurrManager,0.37950466638492486
num__PromotionDelay,0.36667166514018407
cat__OverTime_No,0.3300491814956784
cat__JobRole_Laboratory Technician,0.3093247532852232
cat__OverTime_Yes,0.27836362323990865
num__EngagementScore,0.271007969948792
num__IncomeExperienceRatio,0.2559367104948411
num__YearsAtCompany,0.25549691296267396
num__YearsInCurrentRole,0.25242598949691497
cat__BusinessTravel_Travel_Frequently,0.23801098372937765
num__DistanceFromHome,0.23613541356629225
num__EnvironmentSatisfaction,0.2278303792415187
num__TotalWorkingYears,0.20789283840214046
cat__MaritalStatus_Single,0.2068949947000941
num__Age,0.19464630127977794
num__PercentSalaryHike,0.19050959405686133
num__DailyRate,0.1769114502473725
cat__BusinessTravel_Non-Travel,0.17597760903116075
num__JobSatisfaction,0.1716934829533038
num__JobInvolvement,0.15992487282580634
cat__MaritalStatus_Divorced,0.15899299853442794
num__StockOptionLevel,0.15431839389278004
cat__Department_Sales,0.1512559704669651
cat__JobRole_Research Director,0.14817101986785192
cat__JobRole_Sales Representative,0.14565960016185783
num__WorkLifeBalance,0.14434832834313235
num__TrainingTimesLastYear,0.12708418610886252
cat__EducationField_Life Sciences,0.12099494953971535
cat__Gender_Female,0.11710500672002022
cat__Department_Research & Development,0.10604190911605046
num__YearsSinceLastPromotion,0.09439727743052098
cat__EducationField_Medical,0.08616737215868417
cat__EducationField_Other,0.08503847991114871
cat__JobRole_Healthcare Representative,0.08316122096481973
num__PerformanceRating,0.07951011434047801
cat__MaritalStatus_Married,0.06691447907765084
cat__JobRole_Manufacturing Director,0.06530008868037053
num__RelationshipSatisfaction,0.061026466211951076
num__HourlyRate,0.05391365971660313
cat__Gender_Male,0.05097530500909885
cat__JobRole_Sales Executive,0.040702794042986656
cat__BusinessTravel_Travel_Rarely,0.03819741331606486
cat__EducationField_Technical Degree,0.035487075131807023
num__WorkloadStress,0.03471780265506191
cat__JobRole_Manager,0.03197139389404825
num__Education,0.029451873059199996
cat__JobRole_Research Scientist,0.02856040083566851
cat__JobRole_Human Resources,0.02101808981123203
num__MonthlyRate,0.020812238377906838
cat__EducationField_Human Resources,0.019439438215781656
cat__Department_Human Resources,0.018226055329045233
cat__EducationField_Marketing,0.001894540760270909
